"ATT","EquipmentName","EquipmentType","fDir","fHeight","fLat","fLon","fPitch","fRoll","fSpeed","fTime","iActiveFlag","iDetectZoneNum","iTargetNum","nRCSNum","PlatID","RadarDetectPlat","RadarID","RCSArray","sRID","TargetID","ZonePoint"
,,,,,,,,,,"124",,,,,,,"18",,"1_4_1",,
,,,,,,,,,,"124",,"121",,,,,"18",,"1_4_1","17","[ { ""fLon"" : 117.53459, ""fLat"" : 23.968235 }, { ""fLon"" : 117.89629, ""fLat"" : 25.044683 }, { ""fLon"" : 117.91688, ""fLat"" : 25.038801 }, { ""fLon"" : 117.937355, ""fLat"" : 25.032595 }, { ""fLon"" : 117.95771, ""fLat"" : 25.026062 }, { ""fLon"" : 117.977936, ""fLat"" : 25.01921 }, { ""fLon"" : 117.998024, ""fLat"" : 25.01204 }, { ""fLon"" : 118.017975, ""fLat"" : 25.00455 }, { ""fLon"" : 118.03777, ""fLat"" : 24.99675 }, { ""fLon"" : 118.05742, ""fLat"" : 24.988632 }, { ""fLon"" : 118.07691, ""fLat"" : 24.98021 }, { ""fLon"" : 118.09622, ""fLat"" : 24.971478 }, { ""fLon"" : 118.11538, ""fLat"" : 24.962437 }, { ""fLon"" : 118.13435, ""fLat"" : 24.953096 }, { ""fLon"" : 118.153145, ""fLat"" : 24.943455 }, { ""fLon"" : 118.17175, ""fLat"" : 24.93352 }, { ""fLon"" : 118.190155, ""fLat"" : 24.923292 }, { ""fLon"" : 118.20837, ""fLat"" : 24.91277 }, { ""fLon"" : 118.226364, ""fLat"" : 24.90196 }, { ""fLon"" : 118.24416, ""fLat"" : 24.890867 }, { ""fLon"" : 118.26175, ""fLat"" : 24.879494 }, { ""fLon"" : 118.2791, ""fLat"" : 24.867844 }, { ""fLon"" : 118.29623, ""fLat"" : 24.855915 }, { ""fLon"" : 118.313126, ""fLat"" : 24.84372 }, { ""fLon"" : 118.32979, ""fLat"" : 24.831259 }, { ""fLon"" : 118.34621, ""fLat"" : 24.818531 }, { ""fLon"" : 118.36237, ""fLat"" : 24.805542 }, { ""fLon"" : 118.378296, ""fLat"" : 24.792303 }, { ""fLon"" : 118.39397, ""fLat"" : 24.77881 }, { ""fLon"" : 118.40936, ""fLat"" : 24.765068 }, { ""fLon"" : 118.4245, ""fLat"" : 24.751083 }, { ""fLon"" : 118.43936, ""fLat"" : 24.736858 }, { ""fLon"" : 118.45395, ""fLat"" : 24.722403 }, { ""fLon"" : 118.46824, ""fLat"" : 24.707712 }, { ""fLon"" : 118.48227, ""fLat"" : 24.692793 }, { ""fLon"" : 118.49601, ""fLat"" : 24.67766 }, { ""fLon"" : 118.50944, ""fLat"" : 24.662304 }, { ""fLon"" : 118.52259, ""fLat"" : 24.646736 }, { ""fLon"" : 118.53543, ""fLat"" : 24.630959 }, { ""fLon"" : 118.54797, ""fLat"" : 24.614977 }, { ""fLon"" : 118.560196, ""fLat"" : 24.598803 }, { ""fLon"" : 118.57211, ""fLat"" : 24.582432 }, { ""fLon"" : 118.583725, ""fLat"" : 24.565866 }, { ""fLon"" : 118.59499, ""fLat"" : 24.549124 }, { ""fLon"" : 118.605965, ""fLat"" : 24.532202 }, { ""fLon"" : 118.61659, ""fLat"" : 24.515104 }, { ""fLon"" : 118.62689, ""fLat"" : 24.497839 }, { ""fLon"" : 118.63686, ""fLat"" : 24.480412 }, { ""fLon"" : 118.64649, ""fLat"" : 24.462822 }, { ""fLon"" : 118.65579, ""fLat"" : 24.445084 }, { ""fLon"" : 118.66474, ""fLat"" : 24.427198 }, { ""fLon"" : 118.67335, ""fLat"" : 24.409168 }, { ""fLon"" : 118.68161, ""fLat"" : 24.391003 }, { ""fLon"" : 118.68954, ""fLat"" : 24.372704 }, { ""fLon"" : 118.69709, ""fLat"" : 24.35428 }, { ""fLon"" : 118.7043, ""fLat"" : 24.335741 }, { ""fLon"" : 118.71114, ""fLat"" : 24.317081 }, { ""fLon"" : 118.71765, ""fLat"" : 24.298313 }, { ""fLon"" : 118.723785, ""fLat"" : 24.279444 }, { ""fLon"" : 118.729546, ""fLat"" : 24.260479 }, { ""fLon"" : 118.73494, ""fLat"" : 24.241417 }, { ""fLon"" : 118.74, ""fLat"" : 24.222275 }, { ""fLon"" : 118.74465, ""fLat"" : 24.203049 }, { ""fLon"" : 118.74897, ""fLat"" : 24.18375 }, { ""fLon"" : 118.75289, ""fLat"" : 24.164385 }, { ""fLon"" : 118.75647, ""fLat"" : 24.144955 }, { ""fLon"" : 118.75965, ""fLat"" : 24.125463 }, { ""fLon"" : 118.76247, ""fLat"" : 24.105927 }, { ""fLon"" : 118.76493, ""fLat"" : 24.086342 }, { ""fLon"" : 118.76699, ""fLat"" : 24.06672 }, { ""fLon"" : 118.768684, ""fLat"" : 24.047066 }, { ""fLon"" : 118.77001, ""fLat"" : 24.027384 }, { ""fLon"" : 118.77095, ""fLat"" : 24.007679 }, { ""fLon"" : 118.7715, ""fLat"" : 23.987963 }, { ""fLon"" : 118.77169, ""fLat"" : 23.968237 }, { ""fLon"" : 118.7715, ""fLat"" : 23.948505 }, { ""fLon"" : 118.77095, ""fLat"" : 23.92878 }, { ""fLon"" : 118.77001, ""fLat"" : 23.909058 }, { ""fLon"" : 118.768684, ""fLat"" : 23.889359 }, { ""fLon"" : 118.76699, ""fLat"" : 23.869675 }, { ""fLon"" : 118.76493, ""fLat"" : 23.850021 }, { ""fLon"" : 118.76247, ""fLat"" : 23.830399 }, { ""fLon"" : 118.75965, ""fLat"" : 23.810816 }, { ""fLon"" : 118.75647, ""fLat"" : 23.791279 }, { ""fLon"" : 118.75289, ""fLat"" : 23.77179 }, { ""fLon"" : 118.74897, ""fLat"" : 23.75236 }, { ""fLon"" : 118.74465, ""fLat"" : 23.732994 }, { ""fLon"" : 118.74, ""fLat"" : 23.713696 }, { ""fLon"" : 118.73494, ""fLat"" : 23.694473 }, { ""fLon"" : 118.729546, ""fLat"" : 23.675327 }, { ""fLon"" : 118.723785, ""fLat"" : 23.656273 }, { ""fLon"" : 118.71765, ""fLat"" : 23.63731 }, { ""fLon"" : 118.71114, ""fLat"" : 23.61844 }, { ""fLon"" : 118.7043, ""fLat"" : 23.599682 }, { ""fLon"" : 118.69709, ""fLat"" : 23.581028 }, { ""fLon"" : 118.68954, ""fLat"" : 23.562494 }, { ""fLon"" : 118.68161, ""fLat"" : 23.544077 }, { ""fLon"" : 118.67335, ""fLat"" : 23.52579 }, { ""fLon"" : 118.66474, ""fLat"" : 23.507633 }, { ""fLon"" : 118.65579, ""fLat"" : 23.489616 }, { ""fLon"" : 118.64649, ""fLat"" : 23.47174 }, { ""fLon"" : 118.63686, ""fLat"" : 23.454016 }, { ""fLon"" : 118.62689, ""fLat"" : 23.436447 }, { ""fLon"" : 118.61659, ""fLat"" : 23.419035 }, { ""fLon"" : 118.605965, ""fLat"" : 23.40179 }, { ""fLon"" : 118.59499, ""fLat"" : 23.384718 }, { ""fLon"" : 118.583725, ""fLat"" : 23.367819 }, { ""fLon"" : 118.57211, ""fLat"" : 23.351099 }, { ""fLon"" : 118.560196, ""fLat"" : 23.33457 }, { ""fLon"" : 118.54797, ""fLat"" : 23.31823 }, { ""fLon"" : 118.53543, ""fLat"" : 23.302086 }, { ""fLon"" : 118.52259, ""fLat"" : 23.286144 }, { ""fLon"" : 118.50944, ""fLat"" : 23.27041 }, { ""fLon"" : 118.49601, ""fLat"" : 23.254885 }, { ""fLon"" : 118.48227, ""fLat"" : 23.239578 }, { ""fLon"" : 118.46824, ""fLat"" : 23.224493 }, { ""fLon"" : 118.45395, ""fLat"" : 23.20963 }, { ""fLon"" : 118.43936, ""fLat"" : 23.195 }, { ""fLon"" : 118.4245, ""fLat"" : 23.180601 }, { ""fLon"" : 118.40936, ""fLat"" : 23.166447 }, { ""fLon"" : 118.39397, ""fLat"" : 23.15253 } ]"
"Enum_ATT_1","yanshi-red","plane","76.79047","1.6618572","23.968513","117.5359","-0.28734267","0.0009684547","34.24142",,"1",,,"1","17",,,"[ { ""fRCS"" : 5 } ]","1_4_1",,
,,,,,,,,,,"128",,,,,,,"18",,"1_4_1",,
,,,,,,,,,,"128",,"121",,,,,"18",,"1_4_1","17","[ { ""fLon"" : 117.5359, ""fLat"" : 23.968513 }, { ""fLon"" : 117.89759, ""fLat"" : 25.044958 }, { ""fLon"" : 117.91819, ""fLat"" : 25.039076 }, { ""fLon"" : 117.93867, ""fLat"" : 25.03287 }, { ""fLon"" : 117.95901, ""fLat"" : 25.026337 }, { ""fLon"" : 117.97924, ""fLat"" : 25.019487 }, { ""fLon"" : 117.99933, ""fLat"" : 25.012314 }, { ""fLon"" : 118.01928, ""fLat"" : 25.004827 }, { ""fLon"" : 118.03907, ""fLat"" : 24.997025 }, { ""fLon"" : 118.05872, ""fLat"" : 24.988909 }, { ""fLon"" : 118.07821, ""fLat"" : 24.980486 }, { ""fLon"" : 118.097534, ""fLat"" : 24.97175 }, { ""fLon"" : 118.11669, ""fLat"" : 24.962713 }, { ""fLon"" : 118.135666, ""fLat"" : 24.953373 }, { ""fLon"" : 118.15446, ""fLat"" : 24.943731 }, { ""fLon"" : 118.17305, ""fLat"" : 24.933796 }, { ""fLon"" : 118.19147, ""fLat"" : 24.923565 }, { ""fLon"" : 118.20967, ""fLat"" : 24.913046 }, { ""fLon"" : 118.22768, ""fLat"" : 24.902237 }, { ""fLon"" : 118.245476, ""fLat"" : 24.891144 }, { ""fLon"" : 118.26305, ""fLat"" : 24.87977 }, { ""fLon"" : 118.28041, ""fLat"" : 24.868118 }, { ""fLon"" : 118.29754, ""fLat"" : 24.856192 }, { ""fLon"" : 118.31444, ""fLat"" : 24.843996 }, { ""fLon"" : 118.331085, ""fLat"" : 24.83153 }, { ""fLon"" : 118.3475, ""fLat"" : 24.818804 }, { ""fLon"" : 118.36368, ""fLat"" : 24.805819 }, { ""fLon"" : 118.37959, ""fLat"" : 24.792576 }, { ""fLon"" : 118.39526, ""fLat"" : 24.779085 }, { ""fLon"" : 118.41066, ""fLat"" : 24.765345 }, { ""fLon"" : 118.4258, ""fLat"" : 24.75136 }, { ""fLon"" : 118.44066, ""fLat"" : 24.737135 }, { ""fLon"" : 118.455246, ""fLat"" : 24.722677 }, { ""fLon"" : 118.46955, ""fLat"" : 24.707987 }, { ""fLon"" : 118.48358, ""fLat"" : 24.693073 }, { ""fLon"" : 118.49731, ""fLat"" : 24.677935 }, { ""fLon"" : 118.51075, ""fLat"" : 24.662577 }, { ""fLon"" : 118.52389, ""fLat"" : 24.647009 }, { ""fLon"" : 118.53673, ""fLat"" : 24.631233 }, { ""fLon"" : 118.54927, ""fLat"" : 24.615255 }, { ""fLon"" : 118.5615, ""fLat"" : 24.599077 }, { ""fLon"" : 118.573425, ""fLat"" : 24.582706 }, { ""fLon"" : 118.58502, ""fLat"" : 24.566145 }, { ""fLon"" : 118.596306, ""fLat"" : 24.5494 }, { ""fLon"" : 118.60726, ""fLat"" : 24.532476 }, { ""fLon"" : 118.61789, ""fLat"" : 24.51538 }, { ""fLon"" : 118.628204, ""fLat"" : 24.498116 }, { ""fLon"" : 118.63816, ""fLat"" : 24.480688 }, { ""fLon"" : 118.647804, ""fLat"" : 24.4631 }, { ""fLon"" : 118.65709, ""fLat"" : 24.445362 }, { ""fLon"" : 118.66605, ""fLat"" : 24.427473 }, { ""fLon"" : 118.67466, ""fLat"" : 24.409445 }, { ""fLon"" : 118.68292, ""fLat"" : 24.39128 }, { ""fLon"" : 118.690834, ""fLat"" : 24.37298 }, { ""fLon"" : 118.69839, ""fLat"" : 24.354555 }, { ""fLon"" : 118.7056, ""fLat"" : 24.336018 }, { ""fLon"" : 118.712456, ""fLat"" : 24.31736 }, { ""fLon"" : 118.71895, ""fLat"" : 24.29859 }, { ""fLon"" : 118.72508, ""fLat"" : 24.279722 }, { ""fLon"" : 118.73084, ""fLat"" : 24.260754 }, { ""fLon"" : 118.73625, ""fLat"" : 24.241695 }, { ""fLon"" : 118.741295, ""fLat"" : 24.222551 }, { ""fLon"" : 118.745964, ""fLat"" : 24.203325 }, { ""fLon"" : 118.75027, ""fLat"" : 24.184029 }, { ""fLon"" : 118.7542, ""fLat"" : 24.16466 }, { ""fLon"" : 118.75777, ""fLat"" : 24.14523 }, { ""fLon"" : 118.76096, ""fLat"" : 24.125742 }, { ""fLon"" : 118.76378, ""fLat"" : 24.106203 }, { ""fLon"" : 118.76623, ""fLat"" : 24.08662 }, { ""fLon"" : 118.76829, ""fLat"" : 24.066998 }, { ""fLon"" : 118.76998, ""fLat"" : 24.047344 }, { ""fLon"" : 118.77131, ""fLat"" : 24.02766 }, { ""fLon"" : 118.77225, ""fLat"" : 24.007957 }, { ""fLon"" : 118.77281, ""fLat"" : 23.98824 }, { ""fLon"" : 118.773, ""fLat"" : 23.968513 }, { ""fLon"" : 118.77281, ""fLat"" : 23.948782 }, { ""fLon"" : 118.77225, ""fLat"" : 23.929056 }, { ""fLon"" : 118.77131, ""fLat"" : 23.909336 }, { ""fLon"" : 118.76998, ""fLat"" : 23.889633 }, { ""fLon"" : 118.76829, ""fLat"" : 23.869953 }, { ""fLon"" : 118.76623, ""fLat"" : 23.850298 }, { ""fLon"" : 118.76378, ""fLat"" : 23.830675 }, { ""fLon"" : 118.76096, ""fLat"" : 23.811092 }, { ""fLon"" : 118.75777, ""fLat"" : 23.791555 }, { ""fLon"" : 118.7542, ""fLat"" : 23.772066 }, { ""fLon"" : 118.75027, ""fLat"" : 23.752638 }, { ""fLon"" : 118.745964, ""fLat"" : 23.73327 }, { ""fLon"" : 118.741295, ""fLat"" : 23.713972 }, { ""fLon"" : 118.73625, ""fLat"" : 23.69475 }, { ""fLon"" : 118.73084, ""fLat"" : 23.675606 }, { ""fLon"" : 118.72508, ""fLat"" : 23.656548 }, { ""fLon"" : 118.71895, ""fLat"" : 23.637587 }, { ""fLon"" : 118.712456, ""fLat"" : 23.61872 }, { ""fLon"" : 118.7056, ""fLat"" : 23.59996 }, { ""fLon"" : 118.69839, ""fLat"" : 23.581306 }, { ""fLon"" : 118.690834, ""fLat"" : 23.562773 }, { ""fLon"" : 118.68292, ""fLat"" : 23.544355 }, { ""fLon"" : 118.67466, ""fLat"" : 23.52607 }, { ""fLon"" : 118.66605, ""fLat"" : 23.50791 }, { ""fLon"" : 118.65709, ""fLat"" : 23.489897 }, { ""fLon"" : 118.647804, ""fLat"" : 23.472021 }, { ""fLon"" : 118.63816, ""fLat"" : 23.454292 }, { ""fLon"" : 118.628204, ""fLat"" : 23.436724 }, { ""fLon"" : 118.61789, ""fLat"" : 23.419317 }, { ""fLon"" : 118.60726, ""fLat"" : 23.40207 }, { ""fLon"" : 118.596306, ""fLat"" : 23.384995 }, { ""fLon"" : 118.58502, ""fLat"" : 23.368095 }, { ""fLon"" : 118.573425, ""fLat"" : 23.35138 }, { ""fLon"" : 118.5615, ""fLat"" : 23.334848 }, { ""fLon"" : 118.54927, ""fLat"" : 23.31851 }, { ""fLon"" : 118.53673, ""fLat"" : 23.302364 }, { ""fLon"" : 118.52389, ""fLat"" : 23.286425 }, { ""fLon"" : 118.51075, ""fLat"" : 23.270689 }, { ""fLon"" : 118.49731, ""fLat"" : 23.255165 }, { ""fLon"" : 118.48358, ""fLat"" : 23.239857 }, { ""fLon"" : 118.46955, ""fLat"" : 23.224771 }, { ""fLon"" : 118.455246, ""fLat"" : 23.20991 }, { ""fLon"" : 118.44066, ""fLat"" : 23.19528 }, { ""fLon"" : 118.4258, ""fLat"" : 23.180882 }, { ""fLon"" : 118.41066, ""fLat"" : 23.166725 }, { ""fLon"" : 118.39526, ""fLat"" : 23.152811 } ]"
"Enum_ATT_1","yanshi-red","plane","76.79312","1.6618831","23.968798","117.53722","-0.28757477","0.0009767952","34.72193",,"1",,,"1","17",,,"[ { ""fRCS"" : 5 } ]","1_4_1",,
,,,,,,,,,,"132",,,,,,,"18",,"1_4_1",,
,,,,,,,,,,"132",,"121",,,,,"18",,"1_4_1","17","[ { ""fLon"" : 117.53722, ""fLat"" : 23.968798 }, { ""fLon"" : 117.8989, ""fLat"" : 25.04524 }, { ""fLon"" : 117.9195, ""fLat"" : 25.039358 }, { ""fLon"" : 117.93998, ""fLat"" : 25.033152 }, { ""fLon"" : 117.960335, ""fLat"" : 25.026623 }, { ""fLon"" : 117.980545, ""fLat"" : 25.019768 }, { ""fLon"" : 118.00064, ""fLat"" : 25.012598 }, { ""fLon"" : 118.020584, ""fLat"" : 25.005112 }, { ""fLon"" : 118.04038, ""fLat"" : 24.997309 }, { ""fLon"" : 118.060036, ""fLat"" : 24.989193 }, { ""fLon"" : 118.07952, ""fLat"" : 24.980768 }, { ""fLon"" : 118.09885, ""fLat"" : 24.972034 }, { ""fLon"" : 118.118, ""fLat"" : 24.962996 }, { ""fLon"" : 118.13697, ""fLat"" : 24.953655 }, { ""fLon"" : 118.15577, ""fLat"" : 24.944014 }, { ""fLon"" : 118.17436, ""fLat"" : 24.934078 }, { ""fLon"" : 118.19278, ""fLat"" : 24.92385 }, { ""fLon"" : 118.21098, ""fLat"" : 24.91333 }, { ""fLon"" : 118.22899, ""fLat"" : 24.902517 }, { ""fLon"" : 118.24679, ""fLat"" : 24.891426 }, { ""fLon"" : 118.26436, ""fLat"" : 24.880053 }, { ""fLon"" : 118.281715, ""fLat"" : 24.8684 }, { ""fLon"" : 118.29885, ""fLat"" : 24.856474 }, { ""fLon"" : 118.31575, ""fLat"" : 24.844276 }, { ""fLon"" : 118.3324, ""fLat"" : 24.831818 }, { ""fLon"" : 118.348816, ""fLat"" : 24.819088 }, { ""fLon"" : 118.36499, ""fLat"" : 24.806103 }, { ""fLon"" : 118.380905, ""fLat"" : 24.792862 }, { ""fLon"" : 118.396576, ""fLat"" : 24.779367 }, { ""fLon"" : 118.41197, ""fLat"" : 24.765629 }, { ""fLon"" : 118.42711, ""fLat"" : 24.751644 }, { ""fLon"" : 118.44197, ""fLat"" : 24.73742 }, { ""fLon"" : 118.45656, ""fLat"" : 24.72296 }, { ""fLon"" : 118.47086, ""fLat"" : 24.70827 }, { ""fLon"" : 118.484886, ""fLat"" : 24.693356 }, { ""fLon"" : 118.49862, ""fLat"" : 24.678217 }, { ""fLon"" : 118.51206, ""fLat"" : 24.662863 }, { ""fLon"" : 118.5252, ""fLat"" : 24.647295 }, { ""fLon"" : 118.538055, ""fLat"" : 24.63152 }, { ""fLon"" : 118.55058, ""fLat"" : 24.61554 }, { ""fLon"" : 118.56282, ""fLat"" : 24.599361 }, { ""fLon"" : 118.57474, ""fLat"" : 24.58299 }, { ""fLon"" : 118.586334, ""fLat"" : 24.566427 }, { ""fLon"" : 118.59762, ""fLat"" : 24.549686 }, { ""fLon"" : 118.608574, ""fLat"" : 24.532764 }, { ""fLon"" : 118.6192, ""fLat"" : 24.515665 }, { ""fLon"" : 118.62951, ""fLat"" : 24.4984 }, { ""fLon"" : 118.63947, ""fLat"" : 24.480972 }, { ""fLon"" : 118.64912, ""fLat"" : 24.463385 }, { ""fLon"" : 118.6584, ""fLat"" : 24.445644 }, { ""fLon"" : 118.667366, ""fLat"" : 24.42776 }, { ""fLon"" : 118.67597, ""fLat"" : 24.409729 }, { ""fLon"" : 118.684235, ""fLat"" : 24.391565 }, { ""fLon"" : 118.69215, ""fLat"" : 24.373264 }, { ""fLon"" : 118.6997, ""fLat"" : 24.354841 }, { ""fLon"" : 118.70691, ""fLat"" : 24.336302 }, { ""fLon"" : 118.71377, ""fLat"" : 24.317644 }, { ""fLon"" : 118.72026, ""fLat"" : 24.298876 }, { ""fLon"" : 118.726395, ""fLat"" : 24.280006 }, { ""fLon"" : 118.732155, ""fLat"" : 24.26104 }, { ""fLon"" : 118.737564, ""fLat"" : 24.241982 }, { ""fLon"" : 118.74261, ""fLat"" : 24.222836 }, { ""fLon"" : 118.74728, ""fLat"" : 24.203611 }, { ""fLon"" : 118.75158, ""fLat"" : 24.18431 }, { ""fLon"" : 118.755516, ""fLat"" : 24.164944 }, { ""fLon"" : 118.75908, ""fLat"" : 24.145514 }, { ""fLon"" : 118.762276, ""fLat"" : 24.126028 }, { ""fLon"" : 118.76509, ""fLat"" : 24.10649 }, { ""fLon"" : 118.76754, ""fLat"" : 24.086905 }, { ""fLon"" : 118.769615, ""fLat"" : 24.067282 }, { ""fLon"" : 118.77129, ""fLat"" : 24.047628 }, { ""fLon"" : 118.77262, ""fLat"" : 24.027946 }, { ""fLon"" : 118.77356, ""fLat"" : 24.008244 }, { ""fLon"" : 118.774124, ""fLat"" : 23.988525 }, { ""fLon"" : 118.774315, ""fLat"" : 23.9688 }, { ""fLon"" : 118.774124, ""fLat"" : 23.949068 }, { ""fLon"" : 118.77356, ""fLat"" : 23.929342 }, { ""fLon"" : 118.77262, ""fLat"" : 23.909624 }, { ""fLon"" : 118.77129, ""fLat"" : 23.88992 }, { ""fLon"" : 118.769615, ""fLat"" : 23.870237 }, { ""fLon"" : 118.76754, ""fLat"" : 23.850586 }, { ""fLon"" : 118.76509, ""fLat"" : 23.830961 }, { ""fLon"" : 118.762276, ""fLat"" : 23.811382 }, { ""fLon"" : 118.75908, ""fLat"" : 23.79184 }, { ""fLon"" : 118.755516, ""fLat"" : 23.772354 }, { ""fLon"" : 118.75158, ""fLat"" : 23.752924 }, { ""fLon"" : 118.74728, ""fLat"" : 23.733559 }, { ""fLon"" : 118.74261, ""fLat"" : 23.71426 }, { ""fLon"" : 118.737564, ""fLat"" : 23.695036 }, { ""fLon"" : 118.732155, ""fLat"" : 23.675892 }, { ""fLon"" : 118.726395, ""fLat"" : 23.656836 }, { ""fLon"" : 118.72026, ""fLat"" : 23.63787 }, { ""fLon"" : 118.71377, ""fLat"" : 23.619005 }, { ""fLon"" : 118.70691, ""fLat"" : 23.600245 }, { ""fLon"" : 118.6997, ""fLat"" : 23.581594 }, { ""fLon"" : 118.69215, ""fLat"" : 23.563059 }, { ""fLon"" : 118.684235, ""fLat"" : 23.54464 }, { ""fLon"" : 118.67597, ""fLat"" : 23.526352 }, { ""fLon"" : 118.667366, ""fLat"" : 23.508198 }, { ""fLon"" : 118.6584, ""fLat"" : 23.490181 }, { ""fLon"" : 118.64912, ""fLat"" : 23.472307 }, { ""fLon"" : 118.63947, ""fLat"" : 23.454582 }, { ""fLon"" : 118.62951, ""fLat"" : 23.43701 }, { ""fLon"" : 118.6192, ""fLat"" : 23.419601 }, { ""fLon"" : 118.608574, ""fLat"" : 23.402357 }, { ""fLon"" : 118.59762, ""fLat"" : 23.385283 }, { ""fLon"" : 118.586334, ""fLat"" : 23.368383 }, { ""fLon"" : 118.57474, ""fLat"" : 23.351665 }, { ""fLon"" : 118.56282, ""fLat"" : 23.335135 }, { ""fLon"" : 118.55058, ""fLat"" : 23.318794 }, { ""fLon"" : 118.538055, ""fLat"" : 23.302654 }, { ""fLon"" : 118.5252, ""fLat"" : 23.28671 }, { ""fLon"" : 118.51206, ""fLat"" : 23.270977 }, { ""fLon"" : 118.49862, ""fLat"" : 23.255451 }, { ""fLon"" : 118.484886, ""fLat"" : 23.240145 }, { ""fLon"" : 118.47086, ""fLat"" : 23.22506 }, { ""fLon"" : 118.45656, ""fLat"" : 23.210196 }, { ""fLon"" : 118.44197, ""fLat"" : 23.195564 }, { ""fLon"" : 118.42711, ""fLat"" : 23.18117 }, { ""fLon"" : 118.41197, ""fLat"" : 23.167011 }, { ""fLon"" : 118.396576, ""fLat"" : 23.1531 } ]"
"Enum_ATT_1","yanshi-red","plane","76.79584","1.6619085","23.969084","117.53856","-0.287805","0.0009849641","35.191357",,"1",,,"1","17",,,"[ { ""fRCS"" : 5 } ]","1_4_1",,
,,,,,,,,,,"136",,,,,,,"18",,"1_4_1",,
