"ATT","EquipmentName","EquipmentType","fDir","fHeight","fLat","fLon","fPitch","fRoll","fSpeed","fTime","iActiveFlag","iDetectZoneNum","iTargetNum","nRCSNum","PlatID","RadarDetectPlat","RadarID","RCSArray","sRID","TargetID","ZonePoint"
"Enum_ATT_1","yanshi-red","plane","72.26973","4961.8037","23.937893","117.42122","-3.9574919","0.09994218","272.17145",,"1",,,"1","17",,,"[ { ""fRCS"" : 5 } ]","1_3_1",,
,,,,,,,,,,"5.2",,,"1",,,"[ { ""PlatID"" : { ""$numberInt"" : ""15"" }, ""ATT"" : ""Enum_ATT_2"", ""fLon"" : 118.33056, ""fLat"" : 24.04353, ""fHeight"" : 4961.261, ""fSpeed"" : 272.19568, ""DetectError"" : 81.07528 } ]","18",,"1_3_1",,
,,,,,,,,,,"5.2",,,"1",,,"[ { ""PlatID"" : { ""$numberInt"" : ""17"" }, ""ATT"" : ""Enum_ATT_1"", ""fLon"" : 117.42122, ""fLat"" : 23.937893, ""fHeight"" : 4961.8037, ""fSpeed"" : 272.17145, ""DetectError"" : 81.07528 } ]","16",,"1_3_1",,
,,,,,,,,,,"5.2",,"121",,,,,"16",,"1_3_1","15","[ { ""fLon"" : 118.33056, ""fLat"" : 24.04353 }, { ""fLon"" : 117.27016, ""fLat"" : 23.460348 }, { ""fLon"" : 117.2592, ""fLat"" : 23.477413 }, { ""fLon"" : 117.24857, ""fLat"" : 23.494648 }, { ""fLon"" : 117.23826, ""fLat"" : 23.512047 }, { ""fLon"" : 117.2283, ""fLat"" : 23.529608 }, { ""fLon"" : 117.21866, ""fLat"" : 23.547323 }, { ""fLon"" : 117.209366, ""fLat"" : 23.565187 }, { ""fLon"" : 117.2004, ""fLat"" : 23.583193 }, { ""fLon"" : 117.191795, ""fLat"" : 23.601341 }, { ""fLon"" : 117.18353, ""fLat"" : 23.619617 }, { ""fLon"" : 117.17562, ""fLat"" : 23.638023 }, { ""fLon"" : 117.16807, ""fLat"" : 23.656548 }, { ""fLon"" : 117.16086, ""fLat"" : 23.67519 }, { ""fLon"" : 117.154, ""fLat"" : 23.69394 }, { ""fLon"" : 117.147514, ""fLat"" : 23.712795 }, { ""fLon"" : 117.14138, ""fLat"" : 23.731745 }, { ""fLon"" : 117.13561, ""fLat"" : 23.750793 }, { ""fLon"" : 117.1302, ""fLat"" : 23.769922 }, { ""fLon"" : 117.12516, ""fLat"" : 23.789139 }, { ""fLon"" : 117.12049, ""fLat"" : 23.808424 }, { ""fLon"" : 117.11619, ""fLat"" : 23.82778 }, { ""fLon"" : 117.11225, ""fLat"" : 23.847198 }, { ""fLon"" : 117.10869, ""fLat"" : 23.866674 }, { ""fLon"" : 117.10549, ""fLat"" : 23.8862 }, { ""fLon"" : 117.10268, ""fLat"" : 23.905771 }, { ""fLon"" : 117.100235, ""fLat"" : 23.925385 }, { ""fLon"" : 117.09817, ""fLat"" : 23.945026 }, { ""fLon"" : 117.09647, ""fLat"" : 23.964695 }, { ""fLon"" : 117.09515, ""fLat"" : 23.984388 }, { ""fLon"" : 117.09421, ""fLat"" : 24.004095 }, { ""fLon"" : 117.09365, ""fLat"" : 24.023811 }, { ""fLon"" : 117.09346, ""fLat"" : 24.04353 }, { ""fLon"" : 117.09365, ""fLat"" : 24.063244 }, { ""fLon"" : 117.09421, ""fLat"" : 24.08295 }, { ""fLon"" : 117.09515, ""fLat"" : 24.102642 }, { ""fLon"" : 117.09647, ""fLat"" : 24.122314 }, { ""fLon"" : 117.09817, ""fLat"" : 24.141958 }, { ""fLon"" : 117.100235, ""fLat"" : 24.161566 }, { ""fLon"" : 117.10268, ""fLat"" : 24.181137 }, { ""fLon"" : 117.10549, ""fLat"" : 24.200665 }, { ""fLon"" : 117.10869, ""fLat"" : 24.22014 }, { ""fLon"" : 117.11225, ""fLat"" : 24.23956 }, { ""fLon"" : 117.11619, ""fLat"" : 24.258917 }, { ""fLon"" : 117.12049, ""fLat"" : 24.278204 }, { ""fLon"" : 117.12516, ""fLat"" : 24.297419 }, { ""fLon"" : 117.1302, ""fLat"" : 24.316553 }, { ""fLon"" : 117.13561, ""fLat"" : 24.335602 }, { ""fLon"" : 117.14138, ""fLat"" : 24.354555 }, { ""fLon"" : 117.147514, ""fLat"" : 24.373413 }, { ""fLon"" : 117.154, ""fLat"" : 24.39217 }, { ""fLon"" : 117.16086, ""fLat"" : 24.410816 }, { ""fLon"" : 117.16807, ""fLat"" : 24.429346 }, { ""fLon"" : 117.17562, ""fLat"" : 24.44776 }, { ""fLon"" : 117.18353, ""fLat"" : 24.466047 }, { ""fLon"" : 117.191795, ""fLat"" : 24.4842 }, { ""fLon"" : 117.2004, ""fLat"" : 24.50222 }, { ""fLon"" : 117.209366, ""fLat"" : 24.520096 }, { ""fLon"" : 117.21866, ""fLat"" : 24.537827 }, { ""fLon"" : 117.2283, ""fLat"" : 24.555405 }, { ""fLon"" : 117.23826, ""fLat"" : 24.572819 }, { ""fLon"" : 117.24857, ""fLat"" : 24.590073 }, { ""fLon"" : 117.2592, ""fLat"" : 24.607162 }, { ""fLon"" : 117.27016, ""fLat"" : 24.624073 }, { ""fLon"" : 117.28144, ""fLat"" : 24.640808 }, { ""fLon"" : 117.29304, ""fLat"" : 24.657358 }, { ""fLon"" : 117.30496, ""fLat"" : 24.67372 }, { ""fLon"" : 117.317184, ""fLat"" : 24.68989 }, { ""fLon"" : 117.32973, ""fLat"" : 24.705858 }, { ""fLon"" : 117.34257, ""fLat"" : 24.721626 }, { ""fLon"" : 117.35571, ""fLat"" : 24.737185 }, { ""fLon"" : 117.36915, ""fLat"" : 24.752531 }, { ""fLon"" : 117.38288, ""fLat"" : 24.76766 }, { ""fLon"" : 117.39691, ""fLat"" : 24.782566 }, { ""fLon"" : 117.41121, ""fLat"" : 24.797247 }, { ""fLon"" : 117.425804, ""fLat"" : 24.811697 }, { ""fLon"" : 117.44067, ""fLat"" : 24.825914 }, { ""fLon"" : 117.455795, ""fLat"" : 24.83989 }, { ""fLon"" : 117.47119, ""fLat"" : 24.853622 }, { ""fLon"" : 117.48686, ""fLat"" : 24.867107 }, { ""fLon"" : 117.50278, ""fLat"" : 24.880339 }, { ""fLon"" : 117.51895, ""fLat"" : 24.893314 }, { ""fLon"" : 117.53537, ""fLat"" : 24.906036 }, { ""fLon"" : 117.552025, ""fLat"" : 24.918491 }, { ""fLon"" : 117.568924, ""fLat"" : 24.930681 }, { ""fLon"" : 117.58605, ""fLat"" : 24.9426 }, { ""fLon"" : 117.60342, ""fLat"" : 24.954245 }, { ""fLon"" : 117.62098, ""fLat"" : 24.965612 }, { ""fLon"" : 117.63878, ""fLat"" : 24.976698 }, { ""fLon"" : 117.656784, ""fLat"" : 24.987501 }, { ""fLon"" : 117.674995, ""fLat"" : 24.998016 }, { ""fLon"" : 117.693405, ""fLat"" : 25.008238 }, { ""fLon"" : 117.712, ""fLat"" : 25.018167 }, { ""fLon"" : 117.7308, ""fLat"" : 25.027802 }, { ""fLon"" : 117.74977, ""fLat"" : 25.037138 }, { ""fLon"" : 117.76892, ""fLat"" : 25.046171 }, { ""fLon"" : 117.78825, ""fLat"" : 25.054897 }, { ""fLon"" : 117.80773, ""fLat"" : 25.06332 }, { ""fLon"" : 117.827385, ""fLat"" : 25.071428 }, { ""fLon"" : 117.84718, ""fLat"" : 25.07923 }, { ""fLon"" : 117.86713, ""fLat"" : 25.08671 }, { ""fLon"" : 117.88722, ""fLat"" : 25.093878 }, { ""fLon"" : 117.907455, ""fLat"" : 25.100723 }, { ""fLon"" : 117.927795, ""fLat"" : 25.107252 }, { ""fLon"" : 117.94827, ""fLat"" : 25.113455 }, { ""fLon"" : 117.96887, ""fLat"" : 25.119333 }, { ""fLon"" : 117.98958, ""fLat"" : 25.124886 }, { ""fLon"" : 118.01037, ""fLat"" : 25.130108 }, { ""fLon"" : 118.03127, ""fLat"" : 25.135004 }, { ""fLon"" : 118.05227, ""fLat"" : 25.139565 }, { ""fLon"" : 118.07336, ""fLat"" : 25.143797 }, { ""fLon"" : 118.094505, ""fLat"" : 25.147694 }, { ""fLon"" : 118.11573, ""fLat"" : 25.151255 }, { ""fLon"" : 118.13703, ""fLat"" : 25.15448 }, { ""fLon"" : 118.15838, ""fLat"" : 25.15737 }, { ""fLon"" : 118.1798, ""fLat"" : 25.159922 }, { ""fLon"" : 118.20125, ""fLat"" : 25.162132 }, { ""fLon"" : 118.22273, ""fLat"" : 25.164005 }, { ""fLon"" : 118.24426, ""fLat"" : 25.165539 }, { ""fLon"" : 118.265816, ""fLat"" : 25.166733 }, { ""fLon"" : 118.28739, ""fLat"" : 25.167585 } ]"
,,,,,,,,,,"5.2",,"121",,,,,"18",,"1_3_1","17","[ { ""fLon"" : 117.42122, ""fLat"" : 23.937893 }, { ""fLon"" : 117.67842, ""fLat"" : 25.039082 }, { ""fLon"" : 117.6995, ""fLat"" : 25.03485 }, { ""fLon"" : 117.72051, ""fLat"" : 25.030281 }, { ""fLon"" : 117.74141, ""fLat"" : 25.025383 }, { ""fLon"" : 117.7622, ""fLat"" : 25.020155 }, { ""fLon"" : 117.78291, ""fLat"" : 25.014599 }, { ""fLon"" : 117.8035, ""fLat"" : 25.008715 }, { ""fLon"" : 117.823975, ""fLat"" : 25.002506 }, { ""fLon"" : 117.84433, ""fLat"" : 24.995974 }, { ""fLon"" : 117.864555, ""fLat"" : 24.989122 }, { ""fLon"" : 117.88465, ""fLat"" : 24.981947 }, { ""fLon"" : 117.904594, ""fLat"" : 24.974455 }, { ""fLon"" : 117.92439, ""fLat"" : 24.966654 }, { ""fLon"" : 117.94403, ""fLat"" : 24.958536 }, { ""fLon"" : 117.96353, ""fLat"" : 24.950106 }, { ""fLon"" : 117.98286, ""fLat"" : 24.941372 }, { ""fLon"" : 118.002, ""fLat"" : 24.932335 }, { ""fLon"" : 118.02097, ""fLat"" : 24.922989 }, { ""fLon"" : 118.039764, ""fLat"" : 24.913347 }, { ""fLon"" : 118.05837, ""fLat"" : 24.903408 }, { ""fLon"" : 118.076775, ""fLat"" : 24.893175 }, { ""fLon"" : 118.09499, ""fLat"" : 24.88265 }, { ""fLon"" : 118.113, ""fLat"" : 24.87184 }, { ""fLon"" : 118.13078, ""fLat"" : 24.860746 }, { ""fLon"" : 118.14837, ""fLat"" : 24.849367 }, { ""fLon"" : 118.16572, ""fLat"" : 24.837715 }, { ""fLon"" : 118.18286, ""fLat"" : 24.825788 }, { ""fLon"" : 118.19976, ""fLat"" : 24.81359 }, { ""fLon"" : 118.21641, ""fLat"" : 24.80112 }, { ""fLon"" : 118.23283, ""fLat"" : 24.78839 }, { ""fLon"" : 118.249, ""fLat"" : 24.775402 }, { ""fLon"" : 118.264915, ""fLat"" : 24.762154 }, { ""fLon"" : 118.28059, ""fLat"" : 24.748661 }, { ""fLon"" : 118.29598, ""fLat"" : 24.734915 }, { ""fLon"" : 118.31112, ""fLat"" : 24.720928 }, { ""fLon"" : 118.32598, ""fLat"" : 24.7067 }, { ""fLon"" : 118.34057, ""fLat"" : 24.692238 }, { ""fLon"" : 118.35487, ""fLat"" : 24.677544 }, { ""fLon"" : 118.3689, ""fLat"" : 24.662624 }, { ""fLon"" : 118.38263, ""fLat"" : 24.647486 }, { ""fLon"" : 118.39607, ""fLat"" : 24.632126 }, { ""fLon"" : 118.40921, ""fLat"" : 24.616552 }, { ""fLon"" : 118.42205, ""fLat"" : 24.600775 }, { ""fLon"" : 118.43459, ""fLat"" : 24.58479 }, { ""fLon"" : 118.446815, ""fLat"" : 24.568607 }, { ""fLon"" : 118.45874, ""fLat"" : 24.55223 }, { ""fLon"" : 118.470345, ""fLat"" : 24.535667 }, { ""fLon"" : 118.48161, ""fLat"" : 24.518919 }, { ""fLon"" : 118.492584, ""fLat"" : 24.501991 }, { ""fLon"" : 118.50321, ""fLat"" : 24.48489 }, { ""fLon"" : 118.51352, ""fLat"" : 24.467623 }, { ""fLon"" : 118.52348, ""fLat"" : 24.45019 }, { ""fLon"" : 118.53313, ""fLat"" : 24.432598 }, { ""fLon"" : 118.54241, ""fLat"" : 24.41485 }, { ""fLon"" : 118.55138, ""fLat"" : 24.396963 }, { ""fLon"" : 118.55998, ""fLat"" : 24.378931 }, { ""fLon"" : 118.568245, ""fLat"" : 24.36076 }, { ""fLon"" : 118.57616, ""fLat"" : 24.342457 }, { ""fLon"" : 118.58371, ""fLat"" : 24.32403 }, { ""fLon"" : 118.59092, ""fLat"" : 24.305483 }, { ""fLon"" : 118.59778, ""fLat"" : 24.286823 }, { ""fLon"" : 118.60427, ""fLat"" : 24.268051 }, { ""fLon"" : 118.610405, ""fLat"" : 24.249178 }, { ""fLon"" : 118.616165, ""fLat"" : 24.230204 }, { ""fLon"" : 118.621574, ""fLat"" : 24.21114 }, { ""fLon"" : 118.62662, ""fLat"" : 24.19199 }, { ""fLon"" : 118.63129, ""fLat"" : 24.172762 }, { ""fLon"" : 118.63559, ""fLat"" : 24.153458 }, { ""fLon"" : 118.63953, ""fLat"" : 24.134087 }, { ""fLon"" : 118.64309, ""fLat"" : 24.114649 }, { ""fLon"" : 118.646286, ""fLat"" : 24.095158 }, { ""fLon"" : 118.6491, ""fLat"" : 24.075615 }, { ""fLon"" : 118.65154, ""fLat"" : 24.056026 }, { ""fLon"" : 118.65361, ""fLat"" : 24.0364 }, { ""fLon"" : 118.655304, ""fLat"" : 24.016743 }, { ""fLon"" : 118.65663, ""fLat"" : 23.997053 }, { ""fLon"" : 118.65757, ""fLat"" : 23.977348 }, { ""fLon"" : 118.658134, ""fLat"" : 23.957623 }, { ""fLon"" : 118.658325, ""fLat"" : 23.937893 }, { ""fLon"" : 118.658134, ""fLat"" : 23.918156 }, { ""fLon"" : 118.65757, ""fLat"" : 23.898426 }, { ""fLon"" : 118.65663, ""fLat"" : 23.878704 }, { ""fLon"" : 118.655304, ""fLat"" : 23.858994 }, { ""fLon"" : 118.65361, ""fLat"" : 23.839306 }, { ""fLon"" : 118.65154, ""fLat"" : 23.819649 }, { ""fLon"" : 118.6491, ""fLat"" : 23.800022 }, { ""fLon"" : 118.646286, ""fLat"" : 23.780436 }, { ""fLon"" : 118.64309, ""fLat"" : 23.760893 }, { ""fLon"" : 118.63953, ""fLat"" : 23.741402 }, { ""fLon"" : 118.63559, ""fLat"" : 23.721966 }, { ""fLon"" : 118.63129, ""fLat"" : 23.702593 }, { ""fLon"" : 118.62662, ""fLat"" : 23.683292 }, { ""fLon"" : 118.621574, ""fLat"" : 23.664064 }, { ""fLon"" : 118.616165, ""fLat"" : 23.644917 }, { ""fLon"" : 118.610405, ""fLat"" : 23.625858 }, { ""fLon"" : 118.60427, ""fLat"" : 23.606888 }, { ""fLon"" : 118.59778, ""fLat"" : 23.588017 }, { ""fLon"" : 118.59092, ""fLat"" : 23.56925 }, { ""fLon"" : 118.58371, ""fLat"" : 23.550596 }, { ""fLon"" : 118.57616, ""fLat"" : 23.532057 }, { ""fLon"" : 118.568245, ""fLat"" : 23.513634 }, { ""fLon"" : 118.55998, ""fLat"" : 23.495344 }, { ""fLon"" : 118.55138, ""fLat"" : 23.477182 }, { ""fLon"" : 118.54241, ""fLat"" : 23.459162 }, { ""fLon"" : 118.53313, ""fLat"" : 23.441282 }, { ""fLon"" : 118.52348, ""fLat"" : 23.423552 }, { ""fLon"" : 118.51352, ""fLat"" : 23.40598 }, { ""fLon"" : 118.50321, ""fLat"" : 23.388565 }, { ""fLon"" : 118.492584, ""fLat"" : 23.371315 }, { ""fLon"" : 118.48161, ""fLat"" : 23.354239 }, { ""fLon"" : 118.470345, ""fLat"" : 23.337336 }, { ""fLon"" : 118.45874, ""fLat"" : 23.320616 }, { ""fLon"" : 118.446815, ""fLat"" : 23.30408 }, { ""fLon"" : 118.43459, ""fLat"" : 23.287735 }, { ""fLon"" : 118.42205, ""fLat"" : 23.27159 }, { ""fLon"" : 118.40921, ""fLat"" : 23.255646 }, { ""fLon"" : 118.39607, ""fLat"" : 23.239904 }, { ""fLon"" : 118.38263, ""fLat"" : 23.22438 }, { ""fLon"" : 118.3689, ""fLat"" : 23.209064 }, { ""fLon"" : 118.35487, ""fLat"" : 23.193977 } ]"
"Enum_ATT_2","test-B","plane","299.22495","4959.569","24.043648","118.33033","-4.0784197","0.10465511","271.72482",,"1",,,"1","15",,,"[ { ""fRCS"" : 5 } ]","1_3_1",,
"Enum_ATT_1","yanshi-red","plane","72.2701","4960.13","23.937967","117.42147","-4.0467362","0.10321331","271.69986",,"1",,,"1","17",,,"[ { ""fRCS"" : 5 } ]","1_3_1",,
,,,,,,,,,,"5.3",,,"1",,,"[ { ""PlatID"" : { ""$numberInt"" : ""17"" }, ""ATT"" : ""Enum_ATT_1"", ""fLon"" : 117.42147, ""fLat"" : 23.937967, ""fHeight"" : 4960.13, ""fSpeed"" : 271.69986, ""DetectError"" : 81.05985 } ]","16",,"1_3_1",,
,,,,,,,,,,"5.3",,,"1",,,"[ { ""PlatID"" : { ""$numberInt"" : ""15"" }, ""ATT"" : ""Enum_ATT_2"", ""fLon"" : 118.33033, ""fLat"" : 24.043648, ""fHeight"" : 4959.569, ""fSpeed"" : 271.72482, ""DetectError"" : 81.05985 } ]","18",,"1_3_1",,
,,,,,,,,,,"5.3",,"121",,,,,"16",,"1_3_1","15","[ { ""fLon"" : 118.33033, ""fLat"" : 24.043648 }, { ""fLon"" : 117.269936, ""fLat"" : 23.460466 }, { ""fLon"" : 117.258965, ""fLat"" : 23.477531 }, { ""fLon"" : 117.24834, ""fLat"" : 23.494768 }, { ""fLon"" : 117.23804, ""fLat"" : 23.512169 }, { ""fLon"" : 117.228065, ""fLat"" : 23.529726 }, { ""fLon"" : 117.21844, ""fLat"" : 23.547443 }, { ""fLon"" : 117.209145, ""fLat"" : 23.565308 }, { ""fLon"" : 117.20019, ""fLat"" : 23.583313 }, { ""fLon"" : 117.19158, ""fLat"" : 23.60146 }, { ""fLon"" : 117.18332, ""fLat"" : 23.619738 }, { ""fLon"" : 117.17539, ""fLat"" : 23.63814 }, { ""fLon"" : 117.16784, ""fLat"" : 23.656668 }, { ""fLon"" : 117.16062, ""fLat"" : 23.675306 }, { ""fLon"" : 117.15378, ""fLat"" : 23.694057 }, { ""fLon"" : 117.14728, ""fLat"" : 23.712914 }, { ""fLon"" : 117.14114, ""fLat"" : 23.731869 }, { ""fLon"" : 117.13538, ""fLat"" : 23.75091 }, { ""fLon"" : 117.12998, ""fLat"" : 23.770044 }, { ""fLon"" : 117.12493, ""fLat"" : 23.789257 }, { ""fLon"" : 117.12027, ""fLat"" : 23.808544 }, { ""fLon"" : 117.11596, ""fLat"" : 23.827898 }, { ""fLon"" : 117.11204, ""fLat"" : 23.847315 }, { ""fLon"" : 117.10846, ""fLat"" : 23.86679 }, { ""fLon"" : 117.10527, ""fLat"" : 23.88632 }, { ""fLon"" : 117.10246, ""fLat"" : 23.905891 }, { ""fLon"" : 117.10001, ""fLat"" : 23.925503 }, { ""fLon"" : 117.09794, ""fLat"" : 23.945147 }, { ""fLon"" : 117.096245, ""fLat"" : 23.964815 }, { ""fLon"" : 117.09493, ""fLat"" : 23.984509 }, { ""fLon"" : 117.09398, ""fLat"" : 24.004215 }, { ""fLon"" : 117.09343, ""fLat"" : 24.02393 }, { ""fLon"" : 117.09324, ""fLat"" : 24.043648 }, { ""fLon"" : 117.09343, ""fLat"" : 24.063362 }, { ""fLon"" : 117.09398, ""fLat"" : 24.08307 }, { ""fLon"" : 117.09493, ""fLat"" : 24.102762 }, { ""fLon"" : 117.096245, ""fLat"" : 24.122433 }, { ""fLon"" : 117.09794, ""fLat"" : 24.142075 }, { ""fLon"" : 117.10001, ""fLat"" : 24.161684 }, { ""fLon"" : 117.10246, ""fLat"" : 24.181257 }, { ""fLon"" : 117.10527, ""fLat"" : 24.200783 }, { ""fLon"" : 117.10846, ""fLat"" : 24.220259 }, { ""fLon"" : 117.11204, ""fLat"" : 24.239681 }, { ""fLon"" : 117.11596, ""fLat"" : 24.259035 }, { ""fLon"" : 117.12027, ""fLat"" : 24.278324 }, { ""fLon"" : 117.12493, ""fLat"" : 24.297535 }, { ""fLon"" : 117.12998, ""fLat"" : 24.31667 }, { ""fLon"" : 117.13538, ""fLat"" : 24.335718 }, { ""fLon"" : 117.14114, ""fLat"" : 24.354673 }, { ""fLon"" : 117.14728, ""fLat"" : 24.373533 }, { ""fLon"" : 117.15378, ""fLat"" : 24.392288 }, { ""fLon"" : 117.16062, ""fLat"" : 24.410936 }, { ""fLon"" : 117.16784, ""fLat"" : 24.429466 }, { ""fLon"" : 117.17539, ""fLat"" : 24.447876 }, { ""fLon"" : 117.18332, ""fLat"" : 24.466164 }, { ""fLon"" : 117.19158, ""fLat"" : 24.48432 }, { ""fLon"" : 117.20019, ""fLat"" : 24.502338 }, { ""fLon"" : 117.209145, ""fLat"" : 24.520216 }, { ""fLon"" : 117.21844, ""fLat"" : 24.537943 }, { ""fLon"" : 117.228065, ""fLat"" : 24.555523 }, { ""fLon"" : 117.23804, ""fLat"" : 24.572939 }, { ""fLon"" : 117.24834, ""fLat"" : 24.590195 }, { ""fLon"" : 117.258965, ""fLat"" : 24.607279 }, { ""fLon"" : 117.269936, ""fLat"" : 24.624193 }, { ""fLon"" : 117.28122, ""fLat"" : 24.640928 }, { ""fLon"" : 117.292816, ""fLat"" : 24.65748 }, { ""fLon"" : 117.304726, ""fLat"" : 24.67384 }, { ""fLon"" : 117.316956, ""fLat"" : 24.690006 }, { ""fLon"" : 117.3295, ""fLat"" : 24.705978 }, { ""fLon"" : 117.34234, ""fLat"" : 24.721743 }, { ""fLon"" : 117.35549, ""fLat"" : 24.737303 }, { ""fLon"" : 117.36892, ""fLat"" : 24.752647 }, { ""fLon"" : 117.38266, ""fLat"" : 24.767776 }, { ""fLon"" : 117.39669, ""fLat"" : 24.782684 }, { ""fLon"" : 117.41098, ""fLat"" : 24.797365 }, { ""fLon"" : 117.42557, ""fLat"" : 24.811815 }, { ""fLon"" : 117.44043, ""fLat"" : 24.826033 }, { ""fLon"" : 117.45557, ""fLat"" : 24.840008 }, { ""fLon"" : 117.47098, ""fLat"" : 24.85374 }, { ""fLon"" : 117.48663, ""fLat"" : 24.867224 }, { ""fLon"" : 117.502556, ""fLat"" : 24.880459 }, { ""fLon"" : 117.518715, ""fLat"" : 24.893436 }, { ""fLon"" : 117.53514, ""fLat"" : 24.906155 }, { ""fLon"" : 117.5518, ""fLat"" : 24.918612 }, { ""fLon"" : 117.5687, ""fLat"" : 24.9308 }, { ""fLon"" : 117.58583, ""fLat"" : 24.942717 }, { ""fLon"" : 117.60318, ""fLat"" : 24.954365 }, { ""fLon"" : 117.62076, ""fLat"" : 24.965729 }, { ""fLon"" : 117.63856, ""fLat"" : 24.976816 }, { ""fLon"" : 117.65656, ""fLat"" : 24.98762 }, { ""fLon"" : 117.674774, ""fLat"" : 24.998135 }, { ""fLon"" : 117.69319, ""fLat"" : 25.008356 }, { ""fLon"" : 117.711784, ""fLat"" : 25.018286 }, { ""fLon"" : 117.730576, ""fLat"" : 25.02792 }, { ""fLon"" : 117.74955, ""fLat"" : 25.037256 }, { ""fLon"" : 117.76871, ""fLat"" : 25.046288 }, { ""fLon"" : 117.78802, ""fLat"" : 25.055016 }, { ""fLon"" : 117.80751, ""fLat"" : 25.063437 }, { ""fLon"" : 117.82717, ""fLat"" : 25.071547 }, { ""fLon"" : 117.84696, ""fLat"" : 25.079346 }, { ""fLon"" : 117.866905, ""fLat"" : 25.086826 }, { ""fLon"" : 117.886986, ""fLat"" : 25.093998 }, { ""fLon"" : 117.90722, ""fLat"" : 25.100843 }, { ""fLon"" : 117.927574, ""fLat"" : 25.107368 }, { ""fLon"" : 117.94805, ""fLat"" : 25.113573 }, { ""fLon"" : 117.96865, ""fLat"" : 25.119452 }, { ""fLon"" : 117.98935, ""fLat"" : 25.125002 }, { ""fLon"" : 118.01015, ""fLat"" : 25.130226 }, { ""fLon"" : 118.03105, ""fLat"" : 25.135122 }, { ""fLon"" : 118.05205, ""fLat"" : 25.139683 }, { ""fLon"" : 118.07313, ""fLat"" : 25.143913 }, { ""fLon"" : 118.094284, ""fLat"" : 25.14781 }, { ""fLon"" : 118.11552, ""fLat"" : 25.151375 }, { ""fLon"" : 118.13681, ""fLat"" : 25.154598 }, { ""fLon"" : 118.15816, ""fLat"" : 25.157488 }, { ""fLon"" : 118.179565, ""fLat"" : 25.160038 }, { ""fLon"" : 118.20101, ""fLat"" : 25.162249 }, { ""fLon"" : 118.22251, ""fLat"" : 25.164124 }, { ""fLon"" : 118.24403, ""fLat"" : 25.165657 }, { ""fLon"" : 118.26559, ""fLat"" : 25.166847 }, { ""fLon"" : 118.287155, ""fLat"" : 25.167704 } ]"
